FUNDACIO INTERMON OXFAM,110,45334131.36
CRUZ ROJA ESPAÑOLA,114,4.527644697E7
FEDERACION DE ASOCIACIONES DE MEDICUS MUNDI EN ESPAÑA,114,4.200931476E7
FUNDACION ENTRECULTURAS - FE Y ALEGRIA,57,4.127564306E7
MANOS UNIDAS COMITE CATOLICO DE LA CAMPAÑA CONTRA EL HAMBRE EN EL MUNDO,91,3.746563571E7
FUNDACION CODESPA,95,3.718181628E7
FUNDACION ESPAÑOLA PARA LA COOPERACIÓN SOLIDARIAD INTERNACIONAL,90,3.392741518E7
FEDERACION ESPAÑOLA DE RELIGIOSOS DE ENSEÑANZA TITULARES DE CENTROS CATOLICOS (FERE - CECA),48,3.276975835E7
FUNDACION PROMOCION SOCIAL DE LA CULTURA,46,3.12610975E7
FUNDACION IEPALA INSTITUTO DE ESTUDIOS POLITICOS PARA AMERICA LATINA Y AFRICA,79,3.054617889E7
MEDICOS DEL MUNDO,49,2.89051139E7
CARITAS ESPAÑOLA,44,2.584130376E7
MOVIMIENTO POR LA PAZ EL DESARME Y LA LIBERTAD,69,2.536732921E7
CENTRO DE COMUNICACION INVESTIGACION Y DOCUMENTACION ENTRE EUROPA ESPAÑA Y AMERICA LATINA,55,2.402032052E7
CENTRO DE ESTUDIOS Y SOLIDARIDAD CON AMERICA LATINA,52,2.260982696E7
FUNDACION AYUDA EN ACCION,63,2.228712809E7
FUNDACIÓN JOVENES Y DESARROLLO,36,2.106468136E7
FUNDACION CEAR - HABITAFRICA,52,2.007695398E7
FUNDACION HUMANISMO Y DEMOCRACIA,37,1.916666503E7
ASAMBLEA DE COOPERACION POR LA PAZ,66,1.844985601E7
INSTITUTO DE PROMOCION Y APOYO AL DESARROLLO,41,1.810809411E7
FUNDACION IBEROAMERICA EUROPA. CENTRO DE INVESTIGACION PROMOCION Y COOPERACION INTERNACIONAL,45,1.789425723E7
FUNDACION DE RELIGIOSOS SOCIO-SANITARIOS,25,1.761534142E7
INSTITUTO SINDICAL DE COOPERACION AL DESARROLLO (ISCOD),29,1.697313643E7
FUNDACION PAZ Y SOLIDARIDAD SERAFIN ALIAGA,34,1.69694269E7
ASOCIACIÓN PARA LA COOPERACIÓN CON EL SUR LAS SEGOVIAS,52,1.693223981E7
FUNDACION CULTURAL PRIVADA CANOVAS DEL CASTILLO,33,1.512360025E7
FUNDACION MUNDUBAT - MUNDUBAT FUNDAZIOA,62,1.302016582E7
ASOCIACION POR LA PAZ Y EL DESARROLLO,49,1.198254046E7
FUNDACIO PRIVADA CLINIC PER A LA RECERCA BIOMEDICA,9,1.149663408E7
FUNDACION ANESVAD,17,1.119001781E7
ASOCIACION DE INVESTIGACION Y ESPECIALIZACION SOBRE TEMAS IBEROAMERICANOS,37,9179431.58
PROSALUS,44,9111681.24
ONG RESCATE INTERNACIONAL (antes COMITE INTERNACIONAL DE RESCATE ESPAÑA),32,8798292.07
ASOCIACION PRO PERU,21,8296354.53
